ユーザー,日付,種別,カテゴリ,項目,金額
user01,2026-02-01,支出,家賃,家賃,85000
user01,2026-02-03,支出,外食費,カフェ,1150
user01,2026-02-05,支出,日用品,キッチン用品,2100
user01,2026-02-07,支出,交通費,バス代,450
user01,2026-02-10,支出,光熱費,ガス代,5100
user01,2026-02-15,支出,通信費,スマホ・ネット利用料,6000
user01,2026-02-20,収入,副業,副業報酬,28000
user01,2026-02-25,収入,給与,月給,312000
user01,2026-02-26,支出,外食費,ディナー,5600
user01,2026-02-28,支出,娯楽費,書籍,1800
user01,2026-03-01,支出,家賃,家賃,85000
user01,2026-03-03,支出,日用品,ドラッグストア,2700
user01,2026-03-05,支出,交通費,電車賃,840
user01,2026-03-10,支出,光熱費,水道代,4300
user01,2026-03-15,支出,通信費,スマホ・ネット利用料,6000
user01,2026-03-20,支出,娯楽費,ゲーム,6200
user01,2026-03-25,収入,給与,月給,298000
user01,2026-03-27,支出,外食費,居酒屋,5200
user01,2026-03-29,支出,日用品,消耗品,1400
user01,2026-04-01,支出,家賃,家賃,85000
user01,2026-04-03,支出,外食費,ランチ,1050
user01,2026-04-05,支出,日用品,消耗品,1500
user01,2026-04-08,支出,交通費,電車賃,680
user01,2026-04-10,支出,光熱費,電気代,7800
user01,2026-04-15,支出,通信費,スマホ・ネット利用料,6000
user01,2026-04-18,支出,娯楽費,映画館,2400
user01,2026-04-25,収入,給与,月給,307000
user01,2026-04-28,支出,外食費,カフェ,1250
user01,2026-05-01,支出,家賃,家賃,85000
user01,2026-05-03,支出,外食費,ランチ,1200
user01,2026-05-05,支出,日用品,ドラッグストア,2900
user01,2026-05-07,支出,交通費,バス代,500
user01,2026-05-10,支出,光熱費,ガス代,5300
user01,2026-05-15,支出,通信費,スマホ・ネット利用料,6000
user01,2026-05-20,収入,副業,副業報酬,42000
user01,2026-05-25,収入,給与,月給,295000
user01,2026-05-27,支出,娯楽費,書籍,2300
user01,2026-05-29,支出,外食費,居酒屋,4700
user01,2026-06-01,支出,家賃,家賃,85000
user01,2026-06-03,支出,外食費,カフェ,1100
user01,2026-06-05,支出,日用品,キッチン用品,1800
user01,2026-06-08,支出,交通費,タクシー,2200
user01,2026-06-10,支出,光熱費,電気代,8600
user01,2026-06-15,支出,通信費,スマホ・ネット利用料,6000
user01,2026-06-20,支出,娯楽費,イベント,7200
user01,2026-06-25,収入,給与,月給,318000
user01,2026-06-28,支出,外食費,ディナー,5900
user01,2026-07-01,支出,家賃,家賃,85000
user01,2026-07-03,支出,日用品,ドラッグストア,3300
user01,2026-07-05,支出,娯楽費,イベント,9800
user01,2026-07-08,支出,交通費,電車賃,760
user01,2026-07-10,支出,光熱費,水道代,4400
user01,2026-07-15,支出,通信費,スマホ・ネット利用料,6000
user01,2026-07-18,収入,その他,臨時収入,15000
user01,2026-07-25,収入,給与,月給,301000
user01,2026-07-28,支出,外食費,ディナー,6400
user01,2026-07-30,支出,日用品,消耗品,1700
user01,2026-08-01,支出,家賃,家賃,85000
user01,2026-08-03,支出,外食費,ランチ,1350
user01,2026-08-05,支出,日用品,キッチン用品,1600
user01,2026-08-07,支出,交通費,バス代,480
user01,2026-08-10,支出,光熱費,電気代,11800
user01,2026-08-15,支出,通信費,スマホ・ネット利用料,6000
user01,2026-08-20,支出,娯楽費,ゲーム,5200
user01,2026-08-25,収入,給与,月給,309000
user01,2026-08-27,支出,外食費,居酒屋,5800
user01,2026-08-30,支出,旅費,宿泊費,28000
user01,2026-09-01,支出,家賃,家賃,85000
user01,2026-09-03,支出,外食費,カフェ,1200
user01,2026-09-05,支出,日用品,ドラッグストア,2500
user01,2026-09-08,支出,交通費,電車賃,640
user01,2026-09-10,支出,光熱費,ガス代,5000
user01,2026-09-15,支出,通信費,スマホ・ネット利用料,6000
user01,2026-09-18,支出,外食費,ランチ,1200
user01,2026-09-20,支出,旅費,宿泊費,35000
user01,2026-09-25,収入,給与,月給,297000
user01,2026-09-27,支出,娯楽費,書籍,1900
